sad	If you didn't help me get to the type, don't be looking [#TARGETWORD#] when I leave you at the bottom.
sad	So [#TARGETWORD#] when lovely couples separate. Hay. 
sad	Don't be [#TARGETWORD#] when people plot & plan against you. The Almighty is in full control. Remember, His Will is above everyone's else's.
afraid	Ha ha. i am [#TARGETWORD#] that like my novel hero Henry F I am more of a hot beach person!
surprised	Why am I not [#TARGETWORD#] that none of champion of human rights, Social activists and the journalists/media who don’t miss a chance to make a big headline or share fragmented news if something like this happens in
sad	[VJRENE] Jinyoung feels [#TARGETWORD#] because his team mate is nowhere to be found
happy	So [#TARGETWORD#] that everything that comes to my mind, doesn't come out of my mouth. 🙃🙃
sad	Pretty [#TARGETWORD#] when your dog has to comfort you when there's lightning and not the other way around
afraid	I can't tell u that i love u cause I'm still [#TARGETWORD#] that u won't love me back
happy	I'm kinda [#TARGETWORD#] that we good
happy	Reiterating that anine nerds won't be [#TARGETWORD#] when mcdonalds and walmart own the industry and try to sell you big macs with mio on em. Stop
happy	I am [#TARGETWORD#] that you found some solace in something. That is hard to find these days.
sad	It's [#TARGETWORD#] that everyone can't blow... So much potential out there
happy	I'm kinda [#TARGETWORD#] that I don't have to worry about my fave tv show getting canceled
sad	I am actually [#TARGETWORD#] that big brother ends tomorrow. What am I going to watch now?
happy	Beyond [#TARGETWORD#] that Colton arrived early today!
sad	"It's [#TARGETWORD#] that our parents are causing drama but we're not." 
sad	Our pleasure. We are, like you, just so [#TARGETWORD#] that she had to leave us all so soon.  
happy	So [#TARGETWORD#] that I get 3 weeks off after today! 🙌🎉
sad	I told Wyatt to suck a dick and he got [#TARGETWORD#] because it reminded him of
happy	So [#TARGETWORD#] that I waited to watch that
sad	I honestly get so [#TARGETWORD#] when I lose a streak
happy	Climbed in the qualis with quite some mistakes, but still #[#TARGETWORD#] that I can fix them tomorrow :)
afraid	[#TARGETWORD#] that will prosecute him for on going #investigation. #Democrats in #Panic abt
sad	Is it [#TARGETWORD#] that the county fair feels like a family reunion? I talk to at least 2 uncles, a few aunts, and 15 cousins every day I go.
sad	I always get really [#TARGETWORD#] when he's in a scene too.
sad	A lawyer should explain appellate courts to this non-lawyer. #[#TARGETWORD#] that a flack for a DA is completely ignorant on this (and other) points. 
happy	We were very [#TARGETWORD#] that you came. Thank you for sharing your thoughts, and being part of our stories.
surprised	I'm so [#TARGETWORD#] that I let this shit grow as long as it is
